[INFO] 2025-10-02 09:10:06,511 django.utils.autoreload Watching for file changes with StatReloader
[INFO] 2025-10-02 09:10:08,419 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:08,967 django.server "OPTIONS /dj-rest-auth/user/ HTTP/1.1" 200 0
[INFO] 2025-10-02 09:10:09,396 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:10,187 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:10,368 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:10,483 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:10,960 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:11,558 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:11,680 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:12,461 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:12,559 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:12,703 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:12,795 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:12,963 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:13,892 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:13,957 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:14,700 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:14,887 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:15,032 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:16,082 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:16,116 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:16,138 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:16,650 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:16,707 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:16,770 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:17,320 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:17,326 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:17,412 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:17,481 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:17,857 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:17,886 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:17,901 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:18,237 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:18,322 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:18,846 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:19,350 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:19,559 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:19,651 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:19,740 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:19,752 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:20,316 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:20,379 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:21,214 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:21,384 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:21,805 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:23,125 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:24,288 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:24,867 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:24,907 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:24,975 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:25,280 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:25,376 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:25,489 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:25,861 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:25,952 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:26,007 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:27,547 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:27,602 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:27,680 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,410 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,467 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,541 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,654 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:28,749 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:29,510 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:29,557 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:29,644 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,163 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,206 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,276 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:30,648 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
